,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,VOLUME,WORT STRENGTH
0,,,40.0%,,,Whisky,Smooth & fruity,plastic closure,United States,,220.0 Kcal / 100ml,,,The packing  includes a metal cradle for pouring.,Jack Daniel's Old No. 7,bottle,49.97 EUR,Jack Daniel Distillery,940318,,Tennessee Whiskey,general selection,,Wennerco,"medium-bodied,light brown,light banana notes,spicy,hint of vanilla",3.0,
0,6.8 g/l,,12.0%,,,White wine,Crisp & fruity,natural cork,Spain,0.1 €,70.0 Kcal / 100ml,Albariño,"chicken, turkey,tapas and antipasti,pasta and pizza,oriental food",,Lagar da Condesa Albariño 2014,bottle,26.97 EUR,Lagar da Condesa,918467,Galicia,DO Rías Baixas,sale-to-order selection,4.0 g/l,Servaali,"dry,acidic,fruity,flowery",0.75,
0,6.3 g/l,Lower-alcohol wine,7.0%,,,Sparkling wine & champagne,,crown cap,Germany,,70.0 Kcal / 100ml,,"party wine,savoury snacks,berries and fruits,salads, vegetarian food",,Kesäyön Aurinko Blood Orange,bottle,10.65 EUR,Hechtsheim,690087,,,general selection,70.0 g/l,Social Wines,"sweet,acidic,ripe blood orange notes,lemon peel notes,hint of grapefruit,fresh,refreshing",0.75,
0,4.6 g/l,,20.0%,,,Dessert wine & other fortified wines,Port wine,metal screw cap,Portugal,,160.0 Kcal / 100ml,"Touriga Nacional,Touriga Franca,Tinta Barroca,Tinta Roriz,Tinto Cão","meditation beverage,sweet desserts,chocolate desserts,strong cheeses,metal screw cap",Sold in gift packaging,Graham's 30 Years Old Tawny Port,bottle,132.25 EUR,Symington Family Estates,347963,,Tawny Port,limited quantity product,120.0 g/l,Interbrands Wines & Spirits,"copper-brown,sweet,date notes,light orange peel notes,syrupy,cocoa notes,hint of sorrel",0.2,
0,8.6 g/l,,13.0%,,,White wine,Nuanced & structured,metal screw cap,Australia,,70.0 Kcal / 100ml,Chardonnay,"seafood,aperitif,fatty fish,metal screw cap",,Fraser Gallop Parterre Chardonnay 2015,bottle,36.31 EUR,Fraser Gallop,934167,Western Australia,Margaret River,sale-to-order selection,1.0 g/l,Handpicked Wines Finland Ab,"dry,acidic,pineapple notes,mineral notes,minerally,toasted,roasted,baked",0.75,
0,5.4 g/l,,12.5%,,,White wine,Crisp & fruity,natural cork,Georgia,0.1 €,70.0 Kcal / 100ml,Rkatsiteli,"salads, vegetarian food,pasta and pizza,party wine,chicken, turkey",,Tbilvino Rkatsiteli 2017,bottle,17.17 EUR,Tbilvino,575677,,Kakheti,general selection,4.0 g/l,Amka,"dry,medium acidic,pear notes,green apple notes,light currant notes,hint of mineral",0.75,
0,,,40.0%,,,Gin and other spirits,Tequila,natural cork,Mexico,,220.0 Kcal / 100ml,,,,Ocho Añejo La Magueyera Tequila 2014,bottle,108.96 EUR,Tequila Ocho,938217,,,sale-to-order selection,,Vinoble,"yellowish,dry,warm,chocolaty,toffee notes,herbal notes",0.7,
0,6.1 g/l,,13.0%,,,White wine,Generous & toasty,natural cork,Spain,0.1 €,70.0 Kcal / 100ml,Chardonnay,"pork,grilled food,fatty fish,spicy and meaty sausages",,Iniesta Finca El Carril Valeria 2016,bottle,18.6 EUR,Bodega Iniesta,564627,Others,DO Manchuela,general selection,3.0 g/l,Importrade,"dry,acidic,yellow plum notes,ripe citrus notes,peach notes,hint of cream caramel,oak notes",0.75,
0,5.3 g/l,,12.0%,,,Sparkling wine & champagne,Mellow & sweet,natural cork,Spain,0.1 €,80.0 Kcal / 100ml,"Trepat,Garnacha","party wine,buffet,sweet desserts,berries and fruits",,Castellblanc Rosado Cava Medium Dry,bottle,14.51 EUR,Castellblanc,528017,,DO Cava,general selection,40.0 g/l,Bpf-Beverage Partners Finland,"medium sweet,medium acidic,wild strawberry notes,cherry notes,spicy,rosé",0.75,
0,,,38.0%,,,Gin and other spirits,Flavoured spirits,other closure,Finland,0.1 €,210.0 Kcal / 100ml,,,,The Spirit of Mallaskoski,bottle,79.44 EUR,The Helsinki Distilling Company,944673,,,sale-to-order selection,,Servaali,"colourless,dry,warm,flowery,spicy,herbal notes",0.5,
0,,,24.0%,,,Liqueur & bitter,Spice liqueurs,metal screw cap,Holland,0.1 €,250.0 Kcal / 100ml,,metal screw cap,,Bols Cacao White,bottle,27.78 EUR,Lucas Bols,117636,,,general selection,300.0 g/l,Edrington Finland,"colourless,full-bodied,soft,smooth,cocoa notes,light notes of dark chocolate,hint of vanilla",0.5,
0,4.1 g/l,,13.3%,,,Red wine,Luscious & jammy,natural cork,Chile,,80.0 Kcal / 100ml,Cabernet Sauvignon,"meditation beverage,spicy and meaty sausages,game,mutton, lamb",,Cono Sur Silencio Cabernet Sauvignon 2010,bottle,133.19 EUR,Vina Cono Sur,929667,Maipo,Valle del Maipo,sale-to-order selection,3.0 g/l,Winestate Oy,"full-bodied,tannic,berry notes,spicy,oak notes",0.75,
0,5.3 g/l,,14.5%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,Nebbiolo,"mutton, lamb,beef,mushrooms",A wooden transport packaging,Gianni Gagliardo Barolo Riserva Preve 2003,bottle,105.33 EUR,Gianni Gagliardo,933797,Piedmont,DOCG Barolo Riserva,sale-to-order selection,1.0 g/l,Notandum,"full-bodied,medium tannic,cherry notes,oak notes,raspberry notes",0.75,
0,6.2 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,,"mutton, lamb,beef,game,strong cheeses",,Barolo Giblin 2009,bottle,79.85 EUR,Gemma,942277,Piedmont,,sale-to-order selection,1.0 g/l,Servaali Oy,"full-bodied,tannic,berry notes,oak notes,spicy",0.75,
0,,,50.0%,,,Whisky,Nuanced & structured,natural cork,Scotland,,280.0 Kcal / 100ml,,,Sold in gift packaging,Bruichladdich Islay Barley 2010 Single Malt,bottle,119.29 EUR,Bruichladdich Distillery,128297,,Islay,limited quantity product,,Bpf-Beverage Partners Finland,"full-bodied,straw-yellow,dried fruits,light apricot notes,grainy notes,black pepper notes,hint of mineral",0.7,
0,,,7.5%,"stout & porter
(stout)",52.0 EBU,Beer,Stout & porter,crown cap,England,,60.0 Kcal / 100ml,,"mutton, lamb,mild cheeses,casseroles,chocolate desserts",,Redchurch Old Ford Export Stout,bottle,15.15 EUR,Redchurch,916614,,,general selection,,Viinitie,"brownish-black,full-bodied,cloudy,with a rich head,strongly hopped,toasted malt notes,citrus notes,currant leaf notes",0.33,16.8 °P
0,5.8 g/l,,11.0%,,,Sparkling wine & champagne,Rosé and others,,Spain,,80.0 Kcal / 100ml,Tempranillo,"party wine,tapas and antipasti,berries and fruits,aperitif",,Sunnywine Sangria wine pouch,wine pouch,11.19 EUR,Wineintube,925578,,Wine of Spain,sale-to-order selection,50.0 g/l,CISA Drinks,"sweet,medium acidic,fruity,citrus notes,spicy",1.5,
0,7.2 g/l,,11.5%,,,White wine,Nuanced & structured,metal screw cap,Germany,,70.0 Kcal / 100ml,Pinot Noir,"salads, vegetarian food,lean fish,fatty fish,seafood,metal screw cap,organic,lighter glass bottle",,Pflüger Blanc de Noir  2017,bottle,22.71 EUR,Pflüger,900457,The Palatinate,Pfalz,sale-to-order selection,8.0 g/l,BBWines,"dry,acidic,fruity,herbal notes,mineral notes,minerally",0.75,
0,5.2 g/l,,14.5%,,,Red wine,Luscious & jammy,,United States,,80.0 Kcal / 100ml,Zinfandel,"beef,pork,grilled food,chicken, turkey,local eco certificate",,Gnarly Head Old Vine Zinfandel 2017 bag-in-box,bag-in-box,12.33 EUR,Gnarly Head Wines,950648,California,Lodi,general selection,4.0 g/l,Winestate,"medium-bodied,medium tannic,ripe cranberry notes,cherry notes,spicy,hint of herb",3.0,
0,7.6 g/l,,12.0%,,,White wine,Nuanced & structured,metal screw cap,Germany,,70.0 Kcal / 100ml,Riesling,"lean fish,chicken, turkey,salads, vegetarian food,blini,metal screw cap",,DOM Bischöfliche Weingüter Trier Riesling Trocken 2016,bottle,19.99 EUR,Bischöfliche Weingüter Trier,939477,Mosel,Qualitätswein Mosel,sale-to-order selection,9.0 g/l,Arcus Finland Oy,"dry,acidic,citrus notes,fruity",0.75,
0,,,37.5%,,,Vodka & spirit,Flavoured vodka,metal screw cap,Russia,,210.0 Kcal / 100ml,,metal screw cap,,Stolichnaya Vanil,bottle,35.69 EUR,SPI Group,923477,,,sale-to-order selection,9.0 g/l,Quantum Beverages Oy,"colourless,dryish,soft,smooth,vanilla notes,spicy",0.7,
0,5.6 g/l,,13.0%,,,Red wine,Smooth & fruity,metal screw cap,Italy,,80.0 Kcal / 100ml,"Sangiovese,Corvina,Rebo","pasta and pizza,strong cheeses,mild cheeses,beef,metal screw cap,organic,lighter glass bottle",,Lenotti Bio Rosso 2017,bottle,20.27 EUR,Lenotti,953227,The Veneto,,sale-to-order selection,12.0 g/l,Vita Vinum,"medium-bodied,low tannins,berry notes,aromatic,currant notes",0.75,
0,5.5 g/l,,15.0%,,,Red wine,Robust & powerful,natural cork,United States,,80.0 Kcal / 100ml,,"beef,game,grilled food,mutton, lamb",,Orin Swift Machete 2015,bottle,79.87 EUR,Orin Swift Cellars,475477,California,California,limited quantity product,1.0 g/l,Bpf-Beverage Partners Finland,"extra full-bodied,tannic,dark plum notes,cherry jam notes,blueberry notes,vanilla notes,oak notes,rich,full-bodied,warm,long",0.75,
0,5.5 g/l,,14.0%,,,Red wine,Luscious & jammy,natural cork,Portugal,0.1 €,80.0 Kcal / 100ml,"Touriga Nacional,Touriga Franca,Tinta Roriz,Tinta Barroca","tapas and antipasti,beef,pork,strong cheeses",,Quinta de la Rosa 2017,bottle,23.68 EUR,Quinta de la Rosa,458694,,DOC Douro,general selection,,Vindirekt Finland,"medium-bodied,medium tannic,currant notes,cherry notes,raspberry notes,herbal notes",0.375,
0,5.7 g/l,,12.0%,,,Sparkling wine & champagne,Generous & toasty,natural cork,France,,70.0 Kcal / 100ml,,"party wine,aperitif,blini,meditation beverage",Sold in gift packaging,de Venoge Louis XV Champagne Brut 1995,bottle,332.0 EUR,de Venoge,955267,Champagne,AC Champagne,sale-to-order selection,6.0 g/l,Notandum Oy,"brut,acidic,citrus notes,toasted,roasted,baked,aromatic",0.75,
0,,,5.5%,"speciality
(trappist)",31.0 EBU,Beer,Speciality,crown cap,Austria,0.1 €,50.0 Kcal / 100ml,,"pork,fatty fish,chicken, turkey,blini",,Stift Engelszell Nivard Trappistenbier,bottle,13.61 EUR,Stift Engelszell,750274,,,general selection,,Dieter Ettl,"golden-yellow,full-bodied,cloudy,with a rich head,strongly hopped,citrus notes,fruity,spicy,balanced",0.33,12.8 °P
0,5.7 g/l,,12.0%,,,White wine,Crisp & fruity,metal screw cap,Australia,0.1 €,70.0 Kcal / 100ml,Riesling,"lean fish,seafood,aperitif,salads, vegetarian food,metal screw cap,suitable for vegans",,Yalumba Y Series Riesling 2017,bottle,13.87 EUR,Yalumba,580607,South Australia,Barossa,general selection,2.0 g/l,Uniq Drinks Finland,"dry,acidic,ripe lemon notes,green apple notes,light herb notes,hint of mineral",0.75,
0,5.4 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,"Merlot,Cabernet Sauvignon,Petit Verdot,Pugnitello","beef,grilled food,mutton, lamb,game birds",,San Felice Vigorello 2013,bottle,61.19 EUR,San Felice,914027,Tuscany,IGT Rosso Toscana,sale-to-order selection,1.0 g/l,Craft & Cask,"full-bodied,tannic,cherry notes,blackberry notes,spicy",0.75,
0,5.6 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Spain,0.1 €,80.0 Kcal / 100ml,Tempranillo,"casseroles,tapas and antipasti,spicy and meaty sausages,mutton, lamb",,Viña Pomal Reserva  2013,bottle,24.79 EUR,Bodegas Bilbaínas,954957,La Rioja,,sale-to-order selection,1.0 g/l,Wennerco,"full-bodied,tannic,berry notes,spicy,leather notes,oak notes",0.75,
0,6.3 g/l,,12.0%,,,White wine,Nuanced & structured,natural cork,France,,70.0 Kcal / 100ml,,"oriental food,clams, mussels, scallops and oysters,sushi,seafood,organic",,Domaine Marcel Deiss Engelgarten 2015,bottle,49.92 EUR,Domaine Marcel Deiss,902317,Alsace,,sale-to-order selection,9.0 g/l,Tampereen Viinitukku,"dry,acidic,herbal notes,tropical fruit notes,petrol notes",0.75,
0,,Low-alcohol beer,2.5%,"speciality
(flavoured beer)",9.0 EBU,Beer,Speciality,crown cap,Spain,0.1 €,40.0 Kcal / 100ml,,"party wine,tapas and antipasti,salads, vegetarian food,seafood",,Ambar Radler,bottle,5.73 EUR,La Zaragozana,748974,,,general selection,,Winestate,"pale yellow,light-bodied,cloudy,mildly hopped,malty,citrus marmalade notes,light herb notes,fresh,refreshing",0.33,11.9 °P
0,6.8 g/l,,13.5%,,,White wine,Generous & toasty,metal screw cap,Chile,0.1 €,80.0 Kcal / 100ml,Chardonnay,"fatty fish,seafood,chicken, turkey,mild cheeses,metal screw cap",,1865 Single Vineyard Chardonnay 2015,bottle,22.77 EUR,Vina San Pedro,913647,Others,DO Velle del Elqui,sale-to-order selection,3.0 g/l,Pernod Ricard Finland,"dry,acidic,fruity,citrus notes,spicy,oak notes",0.75,
0,4.8 g/l,,14.5%,,,Red wine,Luscious & jammy,metal screw cap,Argentina,0.1 €,80.0 Kcal / 100ml,Merlot,"mutton, lamb,beef,grilled food,game,metal screw cap",,Bodega Piedra Negra Merlot Reserve 2015,bottle,19.64 EUR,Bodega Piedra Negra,430097,Mendoza,Valle de Uco,general selection,3.0 g/l,Arvid Nordquist Hab (Suomi),"full-bodied,tannic,currant jam,dark plum notes,spicy,hint of mocha,oak notes",0.75,
0,7.1 g/l,,13.5%,,,Red wine,Robust & powerful,natural cork,United States,,80.0 Kcal / 100ml,,"meditation beverage,beef,game,mutton, lamb",,Ridge Monte Bello 2014,bottle,243.2 EUR,Ridge Vineyards,471657,California,Santa Cruz Mountains,limited quantity product,,Vindirekt Finland,"extra full-bodied,very tannic,rich blackcurrant notes,boysenberry notes,mocha notes,pepper notes,oak notes,robust,strong,heavy,warm,long",0.75,
0,5.0 g/l,,13.5%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,Sangiovese,"game,beef,mutton, lamb,strong cheeses",,Caparzo Rosso di Montalcino 2016,bottle,21.32 EUR,Caparzo,938406,Tuscany,DOC Rosso di Montalcino,sale-to-order selection,1.0 g/l,Nordic Cellars,"full-bodied,tannic,dark cherry notes,spicy,raspberry notes",0.75,
0,5.6 g/l,,13.0%,,,Red wine,Luscious & jammy,,Italy,,70.0 Kcal / 100ml,"Sangiovese,Nero d'Avola","oriental food,spicy and meaty sausages,grilled food,mild cheeses,organic",,Cantine Ronco Vino Rosso Bio bag-in-box,bag-in-box,12.83 EUR,Cantine Ronco,915688,Sicily,IGT Terre Siciliane,sale-to-order selection,1.0 g/l,Social Wines,"full-bodied,medium tannic,cherry notes,fig notes,berry notes",3.0,
0,,Contains sediment,5.5%,,,Mixed drinks,Berried,crown cap,Finland,0.1 €,60.0 Kcal / 100ml,,,,Teerenpeli Punaherukka-verigreippi Lonkero,bottle,12.15 EUR,Teerenpeli Panimo & Tislaamo,795624,,,general selection,75.0 g/l,Teerenpeli,"rose-red,cloudy,sweet,blood grapefruit notes,redcurrant notes,juniper berry notes,fresh,refreshing",0.33,
0,,,40.0%,,,Whisky,Fruity & aromatic,natural cork,Scotland,0.1 €,220.0 Kcal / 100ml,,,Sold in gift packaging,The Glenlivet French Oak 15 Year Old Single Malt,bottle,94.54 EUR,The Glenlivet Distillery,932257,,Speyside,sale-to-order selection,,Pernod Ricard Finland Oy,"medium-bodied,golden-yellow,fruity,spicy,flowery",0.7,
0,,Mild alcoholic beverage,21.0%,,,Liqueur & bitter,Spice liqueurs,metal screw cap,Finland,,180.0 Kcal / 100ml,,metal screw cap,,Viikate Tervaskanto,bottle,26.4 EUR,Shaman Spirits,952346,,,sale-to-order selection,150.0 g/l,Shaman Spirits Oy Ltd.,"brown,medium full bodied,smoky notes,tar notes",0.5,
0,7.4 g/l,,13.0%,,,White wine,Crisp & fruity,metal screw cap,France,0.1 €,80.0 Kcal / 100ml,Riesling,"aperitif,salads, vegetarian food,seafood,lean fish,metal screw cap",,Riesling Lieu-Dit Muehlforst 2017,bottle,19.85 EUR,Cave Vinicole de Hunawihr,007291,Alsace,AC Alsace,general selection,9.0 g/l,Bpf-Beverage Partners Finland,"dry,acidic,apricot notes,green apple notes,hint of pear,light spice notes",0.75,
0,,,36.0%,,,"Brandy, Armagnac & Calvados",Brandy,metal screw cap,France,0.1 €,210.0 Kcal / 100ml,,metal screw cap,,Bardinet VSOP plastic bottle,plastic bottle,30.57 EUR,Bardinet,111434,,,general selection,13.0 g/l,Norex Selected Brands,"golden brown,amber,light,youngish,warm,light fruity notes,toffee notes,hint of herb",0.35,
0,6.5 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,70.0 Kcal / 100ml,"Pinot Noir,Chardonnay,Meunier,Pinot Meunier","aperitif,seafood,chicken, turkey,game birds",,G.H. Martel & Co Prestige Champagne Brut,bottle,42.11 EUR,G.H. Martel,916754,Champagne,AC Champagne,general selection,9.0 g/l,Red Bev,"brut,acidic,yellow plum notes,marzipan notes,light biscuit notes,buttery,slightly baked",0.375,
0,4.9 g/l,,13.5%,,,White wine,Generous & toasty,metal screw cap,New Zealand,0.1 €,80.0 Kcal / 100ml,Chardonnay,"fatty fish,chicken, turkey,pork,clams, mussels, scallops and oysters,metal screw cap",,Sugar Loaf Chardonnay 2016,bottle,32.69 EUR,Sugar Loaf Wines,570177,,Marlborough,limited quantity product,,Tampereen Viinitukku,"dry,acidic,yellow plum notes,ripe apricot notes,slightly flowery,creamy,oak notes",0.75,
0,5.3 g/l,,13.0%,,,Red wine,Nuanced & developed,natural cork,Spain,0.1 €,70.0 Kcal / 100ml,"Tempranillo,Graciano","mutton, lamb,beef,pork,strong cheeses,organic",,Viña los Valles Reserva 2013,bottle,24.53 EUR,Bodegas Vinicola Real,479637,La Rioja,DOCa Rioja,general selection,,Henkell Suomi,"full-bodied,tannic,sour cherry,blackberry notes,fig notes,light leather notes,spicy",0.75,
0,5.4 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Spain,,80.0 Kcal / 100ml,,"game,mutton, lamb,strong cheeses",A wooden transport packaging,Valduero 6 Años Reserva Premium 2010,bottle,105.95 EUR,Bodegas Valduero,934657,Others,DO Ribera del Duero,sale-to-order selection,1.0 g/l,Muru Wines Oy,"full-bodied,tannic,oak notes,chocolaty,mocha notes",0.75,
0,,Mild alcoholic beverage,21.0%,,,Liqueur & bitter,,plastic closure,Finland,0.1 €,210.0 Kcal / 100ml,,,,Pramia Yölintu Whisky-Kahvilikööri plastic bottle,plastic bottle,28.26 EUR,Pramia,293334,,,general selection,210.0 g/l,Pramia,"amber-brown,medium full bodied,light whisky notes,hint of mocha",0.35,
0,5.2 g/l,,13.5%,,,Red wine,Luscious & jammy,metal screw cap,Italy,0.1 €,80.0 Kcal / 100ml,"Sangiovese,Merlot","pork,pasta and pizza,buffet,party wine,metal screw cap",,Nespolino by Papavero 2017,bottle,11.19 EUR,Barone Montalto,406547,Others,IGT Rubicone,general selection,4.0 g/l,Stella Wines,"medium-bodied,medium tannic,cherry jam notes,blackberry notes,wild strawberry notes",0.75,
0,5.2 g/l,,13.5%,,,Red wine,Luscious & jammy,metal screw cap,Italy,0.1 €,80.0 Kcal / 100ml,"Sangiovese,Merlot","pork,pasta and pizza,buffet,party wine,metal screw cap",,Nespolino by Papavero 2017,bottle,11.19 EUR,Barone Montalto,406547,Others,IGT Rubicone,general selection,4.0 g/l,Stella Wines,"medium-bodied,medium tannic,cherry jam notes,blackberry notes,wild strawberry notes",0.75,
0,8.1 g/l,Dessert wine,10.0%,,,Dessert wine & other fortified wines,Dessert wines,natural cork,Germany,,120.0 Kcal / 100ml,,"sweet desserts,chocolate desserts,strong cheeses",,Louis Guntrum Oppenheimer Herrenberg Scheurebe Trockenbeerenauslese 1999,bottle,213.07 EUR,Louis Guntrum,920474,Rheinhessen,Prädikatswein Rheinhessen,sale-to-order selection,160.0 g/l,Notandum,"sweet,medium acidic,honey notes,petrol notes,fig notes",0.375,
0,8.0 g/l,,11.5%,,,White wine,Crisp & fruity,natural cork,France,0.1 €,80.0 Kcal / 100ml,Chenin Blanc,"mild cheeses,fatty fish,oriental food,aperitif",,Famille Bougrier Collection Vouvray Chenin Blanc 2017,bottle,18.52 EUR,Famille Bougrier,954243,Loire,AOP Vouvray,sale-to-order selection,25.0 g/l,Servaali,"medium sweet,acidic,apricot notes,honey notes,mineral notes,minerally",0.75,
0,7.2 g/l,,13.0%,,,Rosé wine,Dry,metal screw cap,Chile,0.1 €,80.0 Kcal / 100ml,Cabernet Sauvignon,"salads, vegetarian food,chicken, turkey,savoury snacks,pasta and pizza,metal screw cap,Fair for life",,Torres Santa Digna Cabernet Sauvignon Rosé 2017,bottle,14.4 EUR,Miguel Torres,007142,,Central Valley,general selection,5.0 g/l,Winestate,"dry,acidic,redcurrant notes,currant leaf notes,raspberry notes,herbal notes",0.75,
0,5.1 g/l,,14.5%,,,Red wine,Luscious & jammy,metal screw cap,Australia,0.1 €,80.0 Kcal / 100ml,"Shiraz,Tempranillo,Mourvèdre,Grenache","casseroles,pork,mutton, lamb,grilled food,metal screw cap",,Peter Lehmann Layers Red 2014,bottle,19.27 EUR,Peter Lehmann,915237,South Australia,Barossa,general selection,1.0 g/l,Hartwall,"full-bodied,medium tannic,ripe plum notes,cranberry notes,blackcurrant notes,hint of salmiak,toasted,roasted,baked",0.75,
0,5.9 g/l,,15.5%,,,Red wine,Luscious & jammy,natural cork,Italy,,90.0 Kcal / 100ml,"Corvina Veronese,Corvinone,Rondinella","mutton, lamb,beef,casseroles,game",,Monte Del Frá Amarone della Valpolicella Classico 2013,bottle,53.93 EUR,Monte Del Frá,907957,The Veneto,DOCG Amarone della Valpolicella Classico,sale-to-order selection,4.0 g/l,Tampereen Viinitukku,"extra full-bodied,medium tannic,cherry notes,ripe plum notes,herbal notes",0.75,
0,,Contains quinine,0.0%,,,Non-alcoholic,Mixers,crown cap,England,0.1 €,40.0 Kcal / 100ml,,,,Fever-Tree Elderflower Tonic Water,bottle,8.9 EUR,Fever-Tree,701773,,,general selection,95.0 g/l,Dayton,"colourless,sweet,carbonated,elderflower notes,light lime notes,bitter",0.2,
0,3.2 g/l,,14.5%,,,Red wine,Robust & powerful,natural cork,France,0.1 €,80.0 Kcal / 100ml,"Grenache Noir,Mourvèdre,Syrah","beef,game,mutton, lamb,casseroles",,Ogier Châteauneuf-du-Pape Clos de l'Oratoire des Papes 2016,bottle,60.53 EUR,Ogier,911177,Rhône,AC Châteauneuf-du-Pape,sale-to-order selection,3.0 g/l,Wennerco,"full-bodied,tannic,berry notes,spicy,aromatic",0.75,
0,4.6 g/l,,11.5%,,,Red wine,Berried & fresh,metal screw cap,France,,70.0 Kcal / 100ml,Merlot,"mild cheeses,buffet,pasta and pizza,party wine,metal screw cap",,Le Petit Balthazar Merlot 2017,bottle,17.31 EUR,Pierrick Harang Wines,902547,Languedoc-Roussillon,IGP Pays d'Oc,sale-to-order selection,3.0 g/l,Viinitie,"medium-bodied,low tannins,currant notes,spicy,blueberry notes",0.75,
0,,Dessert wine,12.0%,,,Dessert wine & other fortified wines,Dessert wines,natural cork,Canada,,160.0 Kcal / 100ml,,"sweet desserts,meditation beverage",Sold in gift packaging,Domaine Pinnacle Ice Apple Wine,bottle,85.84 EUR,Domaine Pinnacle,936554,,,sale-to-order selection,230.0 g/l,Norex Selected Brands,"sweet,medium acidic,fruity,aromatic,long",0.375,
0,,,35.0%,,,Liqueur & bitter,Herbal liquers,metal screw cap,Germany,,250.0 Kcal / 100ml,,metal screw cap,,Jägermeister,bottle,49.9 EUR,Mast-Jägermeister,131143,,,general selection,130.0 g/l,Bpf-Beverage Partners Finland,"dark brown,medium full bodied,sharp,medicinal herb notes,hint of liquorice,spicy",0.2,
0,5.4 g/l,,12.5%,,,White wine,Crisp & fruity,natural cork,France,0.1 €,70.0 Kcal / 100ml,Chardonnay,"fatty fish,chicken, turkey,savoury snacks,pork",,Bouchard Hautes-Côtes de Beaune 2015,bottle,21.85 EUR,Bouchard Aîné & Fils,562727,Burgundy,AC Bourgogne Hautes-Côtes de Beaune,general selection,,Cisa Drinks,"dry,medium acidic,ripe citrus notes,light yellow plum notes,buttery,slightly spicy",0.75,
0,,,28.0%,,,Liqueur & bitter,,plastic closure,Finland,0.2 €,230.0 Kcal / 100ml,,,,Jalokahvi plastic bottle,plastic bottle,30.38 EUR,Altia,123706,,,general selection,180.0 g/l,Altia,"copper-brown,medium full bodied,warm,cognac notes,coffee bean aroma",0.5,
0,,,7.0%,"speciality
(gueuze)",22.0 EBU,Beer,Speciality,natural cork,Belgium,,50.0 Kcal / 100ml,,"meditation beverage,seafood,game birds,strong cheeses",,Boon Oude Geuze,bottle,16.19 EUR,Boon,775264,,,limited quantity product,,Brew Seeker,"lemon-yellow,medium-bodied,cloudy,medium hopped,citrus notes,light grapefruit notes,hint of grain,flowery,fresh,refreshing",0.375,14.1 °P
0,,,9.5%,"ale
(abbey ale)",21.0 EBU,Beer,Ale,crown cap,United States,0.1 €,70.0 Kcal / 100ml,,"fatty fish,chicken, turkey,pork,grilled food",,Victory Brewing Golden Monkey,bottle,16.0 EUR,Victory Brewing,727374,,,general selection,,Brew Seeker,"golden-yellow,medium-bodied,cloudy,medium hopped,biscuity,grainy notes,fruity,spicy,aromatic",0.355,19.0 °P
0,7.6 g/l,,11.5%,,,Red wine,Smooth & fruity,natural cork,Italy,,70.0 Kcal / 100ml,,"party wine,mild cheeses,savoury snacks,chicken, turkey",,Medici Ermete Concerto Reggiano Lambrusco 2015,bottle,25.33 EUR,Medici Ermete,925127,Others,DOC Lambrusco,sale-to-order selection,8.0 g/l,Monditaly Wines and Spirits,"medium-bodied,low tannins,medium-dry,berry notes,spicy,spritzy",0.75,
0,,Low-alcohol beer,3.9%,"dark lager
(scwarzbier)",17.0 EBU,Beer,Dark lager,crown cap,Germany,0.1 €,40.0 Kcal / 100ml,,"chocolate desserts,pork,mild sausages",,Neuzeller Schwarzer Abt,bottle,6.2 EUR,Klosterbrauerei Neuzelle,959036,,,sale-to-order selection,,Red Bev,"black,medium-bodied,mildly hopped,malty,toasted,roasted,baked,bread notes",0.5,12.0 °P
0,10.2 g/l,,13.0%,,,Dessert wine & other fortified wines,Fruit- and aromatised wines,,Finland,,80.0 Kcal / 100ml,,"party wine,mild cheeses,game",,Alahovin Riistamusta Viinimarjaviini,bottle,18.84 EUR,Alahovi,004119,,,sale-to-order selection,4.0 g/l,Alahovin Viinitila Oy,"dry,acidic,berry notes",0.75,
0,5.5 g/l,,13.5%,,,Red wine,Luscious & jammy,natural cork,Italy,,80.0 Kcal / 100ml,,"buffet,party wine,strong cheeses,beef,organic",Sold in gift packaging,Antiche Terre Amore Assoluto Biologico 2014,bottle,21.58 EUR,Antiche Terre,943298,Others,Vino Rosso Italiano,sale-to-order selection,5.0 g/l,Wineworld Finland,"full-bodied,medium tannic,ripe plum notes,spicy,raspberry notes",1.5,
